    healthcare::0017 missing_features               pred=19 true=19 lat=3031ms
      teaching::0021 sparse_history                 pred=14 true=22 lat=2007ms
      teaching::0021 incomplete_contested_ontology  pred=22 true=22 lat=1833ms
      teaching::0041 noisy_incomplete_transcript    pred=18 true=18 lat=1927ms
      teaching::0041 missing_features               pred=18 true=18 lat=1942ms
      teaching::0041 sparse_history                 pred=18 true=18 lat=1941ms
      teaching::0041 incomplete_contested_ontology  pred=18 true=18 lat=1993ms
      teaching::0061 noisy_incomplete_transcript    pred=14 true=14 lat=1883ms
      teaching::0061 missing_features               pred=14 true=14 lat=2248ms
      teaching::0061 sparse_history                 pred=14 true=14 lat=1964ms
      teaching::0061 incomplete_contested_ontology  pred=14 true=14 lat=2209ms
      teaching::0081 noisy_incomplete_transcript    pred=11 true=10 lat=2249ms
      teaching::0081 missing_features               pred=11 true=10 lat=1933ms
      teaching::0081 sparse_history                 pred=11 true=10 lat=2068ms
      teaching::0081 incomplete_contested_ontology  pred=11 true=10 lat=1739ms
      teaching::0002 noisy_incomplete_transcript    pred=3 true=3 lat=2089ms
      teaching::0002 missing_features               pred=3 true=3 lat=2176ms
      teaching::0002 sparse_history                 pred=3 true=3 lat=1659ms
      teaching::0002 incomplete_contested_ontology  pred=3 true=3 lat=1746ms
      teaching::0022 noisy_incomplete_transcript    pred=11 true=23 lat=1815ms
      teaching::0022 missing_features               pred=11 true=23 lat=2001ms
      teaching::0022 sparse_history                 pred=17 true=23 lat=1894ms
      teaching::0022 incomplete_contested_ontology  pred=18 true=23 lat=1981ms
      teaching::0042 noisy_incomplete_transcript    pred=19 true=19 lat=2089ms
      teaching::0042 missing_features               pred=19 true=19 lat=2017ms
      teaching::0042 sparse_history                 pred=19 true=19 lat=2006ms
      teaching::0042 incomplete_contested_ontology  pred=19 true=19 lat=1975ms
      teaching::0062 noisy_incomplete_transcript    pred=5 true=15 lat=2280ms
      teaching::0062 missing_features               pred=5 true=15 lat=2145ms
      teaching::0062 sparse_history                 pred=5 true=15 lat=1888ms
      teaching::0062 incomplete_contested_ontology  pred=5 true=15 lat=1991ms
      teaching::0082 noisy_incomplete_transcript    pred=11 true=11 lat=2097ms
      teaching::0082 missing_features               pred=11 true=11 lat=1882ms
      teaching::0082 sparse_history                 pred=11 true=11 lat=1836ms
      teaching::0082 incomplete_contested_ontology  pred=11 true=11 lat=1942ms
      teaching::0003 noisy_incomplete_transcript    pred=4 true=4 lat=1938ms
      teaching::0003 missing_features               pred=4 true=4 lat=2145ms
      teaching::0003 sparse_history                 pred=4 true=4 lat=2101ms
      teaching::0003 incomplete_contested_ontology  pred=4 true=4 lat=1946ms
      teaching::0023 noisy_incomplete_transcript    pred=19 true=24 lat=1996ms
      teaching::0023 missing_features               pred=19 true=24 lat=2148ms
      teaching::0023 sparse_history                 pred=19 true=24 lat=1959ms
      teaching::0023 incomplete_contested_ontology  pred=19 true=24 lat=2022ms
      teaching::0043 noisy_incomplete_transcript    pred=11 true=20 lat=1803ms
      teaching::0043 missing_features               pred=20 true=20 lat=2557ms
      teaching::0043 sparse_history                 pred=20 true=20 lat=2176ms
      teaching::0043 incomplete_contested_ontology  pred=20 true=20 lat=1737ms
      teaching::0063 noisy_incomplete_transcript    pred=10 true=16 lat=1968ms
      teaching::0063 missing_features               pred=10 true=16 lat=2086ms
      teaching::0063 sparse_history                 pred=11 true=16 lat=1889ms
      teaching::0063 incomplete_contested_ontology  pred=16 true=16 lat=1873ms
      teaching::0083 noisy_incomplete_transcript    pred=12 true=12 lat=2364ms
      teaching::0083 missing_features               pred=12 true=12 lat=2237ms
      teaching::0083 sparse_history                 pred=12 true=12 lat=2058ms
      teaching::0083 incomplete_contested_ontology  pred=12 true=12 lat=2171ms
      teaching::0004 noisy_incomplete_transcript    pred=6 true=5 lat=2180ms
      teaching::0004 missing_features               pred=6 true=5 lat=2257ms
      teaching::0004 sparse_history                 pred=5 true=5 lat=1849ms
      teaching::0004 incomplete_contested_ontology  pred=5 true=5 lat=2261ms
      teaching::0024 noisy_incomplete_transcript    pred=1 true=1 lat=1897ms
      teaching::0024 missing_features               pred=11 true=1 lat=2434ms
      teaching::0024 sparse_history                 pred=11 true=1 lat=1884ms
      teaching::0024 incomplete_contested_ontology  pred=11 true=1 lat=1978ms
      teaching::0044 noisy_incomplete_transcript    pred=18 true=21 lat=1937ms
      teaching::0044 missing_features               pred=21 true=21 lat=2148ms
      teaching::0044 sparse_history                 pred=21 true=21 lat=2145ms
      teaching::0044 incomplete_contested_ontology  pred=21 true=21 lat=2126ms
      teaching::0064 noisy_incomplete_transcript    pred=17 true=17 lat=2189ms
      teaching::0064 missing_features               pred=17 true=17 lat=2042ms
      teaching::0064 sparse_history                 pred=17 true=17 lat=2150ms
      teaching::0064 incomplete_contested_ontology  pred=17 true=17 lat=2378ms
      teaching::0084 noisy_incomplete_transcript    pred=11 true=13 lat=2507ms
      teaching::0084 missing_features               pred=13 true=13 lat=2394ms
      teaching::0084 sparse_history                 pred=13 true=13 lat=1907ms
      teaching::0084 incomplete_contested_ontology  pred=13 true=13 lat=2357ms
      teaching::0005 noisy_incomplete_transcript    pred=5 true=6 lat=2417ms
      teaching::0005 missing_features               pred=5 true=6 lat=2307ms
      teaching::0005 sparse_history                 pred=5 true=6 lat=2234ms
      teaching::0005 incomplete_contested_ontology  pred=6 true=6 lat=1920ms
      teaching::0025 noisy_incomplete_transcript    pred=1 true=2 lat=2125ms
      teaching::0025 missing_features               pred=11 true=2 lat=2096ms
      teaching::0025 sparse_history                 pred=11 true=2 lat=1970ms
      teaching::0025 incomplete_contested_ontology  pred=11 true=2 lat=1950ms
      teaching::0045 noisy_incomplete_transcript    pred=22 true=22 lat=2161ms
      teaching::0045 missing_features               pred=22 true=22 lat=2183ms
      teaching::0045 sparse_history                 pred=22 true=22 lat=2056ms
      teaching::0045 incomplete_contested_ontology  pred=22 true=22 lat=2525ms
      teaching::0065 noisy_incomplete_transcript    pred=18 true=18 lat=1876ms
      teaching::0065 missing_features               pred=18 true=18 lat=2394ms
      teaching::0065 sparse_history                 pred=18 true=18 lat=2523ms
      teaching::0065 incomplete_contested_ontology  pred=18 true=18 lat=2316ms
      teaching::0085 noisy_incomplete_transcript    pred=14 true=14 lat=2451ms
      teaching::0085 missing_features               pred=14 true=14 lat=2163ms
      teaching::0085 sparse_history                 pred=14 true=14 lat=2664ms
      teaching::0085 incomplete_contested_ontology  pred=14 true=14 lat=2195ms
      teaching::0006 noisy_incomplete_transcript    pred=7 true=7 lat=2321ms
      teaching::0006 missing_features               pred=7 true=7 lat=2237ms
      teaching::0006 sparse_history                 pred=11 true=7 lat=2334ms
      teaching::0006 incomplete_contested_ontology  pred=11 true=7 lat=2265ms
      teaching::0026 noisy_incomplete_transcript    pred=11 true=3 lat=2131ms
      teaching::0026 missing_features               pred=3 true=3 lat=2131ms
      teaching::0026 sparse_history                 pred=3 true=3 lat=2271ms
      teaching::0026 incomplete_contested_ontology  pred=3 true=3 lat=2153ms
      teaching::0046 noisy_incomplete_transcript    pred=11 true=23 lat=1890ms
      teaching::0046 missing_features               pred=11 true=23 lat=2574ms
      teaching::0046 sparse_history                 pred=11 true=23 lat=1903ms
      teaching::0046 incomplete_contested_ontology  pred=8 true=23 lat=2376ms
      teaching::0066 noisy_incomplete_transcript    pred=19 true=19 lat=2582ms
      teaching::0066 missing_features               pred=19 true=19 lat=1885ms
      teaching::0066 sparse_history                 pred=19 true=19 lat=1922ms
      teaching::0066 incomplete_contested_ontology  pred=19 true=19 lat=2113ms
      teaching::0086 noisy_incomplete_transcript    pred=5 true=15 lat=2248ms
      teaching::0086 missing_features               pred=5 true=15 lat=1995ms
      teaching::0086 sparse_history                 pred=5 true=15 lat=1891ms
      teaching::0086 incomplete_contested_ontology  pred=5 true=15 lat=2464ms
      teaching::0007 noisy_incomplete_transcript    pred=17 true=8 lat=2138ms
      teaching::0007 missing_features               pred=11 true=8 lat=1709ms
      teaching::0007 sparse_history                 pred=11 true=8 lat=2141ms
      teaching::0007 incomplete_contested_ontology  pred=11 true=8 lat=2202ms
      teaching::0027 noisy_incomplete_transcript    pred=5 true=4 lat=2300ms
      teaching::0027 missing_features               pred=5 true=4 lat=2059ms
      teaching::0027 sparse_history                 pred=4 true=4 lat=1988ms
      teaching::0027 incomplete_contested_ontology  pred=4 true=4 lat=2041ms
      teaching::0047 noisy_incomplete_transcript    pred=11 true=24 lat=2206ms
      teaching::0047 missing_features               pred=11 true=24 lat=4000ms
      teaching::0047 sparse_history                 pred=11 true=24 lat=2175ms
      teaching::0047 incomplete_contested_ontology  pred=11 true=24 lat=2117ms
      teaching::0067 noisy_incomplete_transcript    pred=20 true=20 lat=2019ms
      teaching::0067 missing_features               pred=20 true=20 lat=1806ms
      teaching::0067 sparse_history                 pred=20 true=20 lat=2589ms
      teaching::0067 incomplete_contested_ontology  pred=20 true=20 lat=1839ms
      teaching::0087 noisy_incomplete_transcript    pred=10 true=16 lat=2036ms
      teaching::0087 missing_features               pred=10 true=16 lat=1943ms
      teaching::0087 sparse_history                 pred=16 true=16 lat=1835ms
      teaching::0087 incomplete_contested_ontology  pred=16 true=16 lat=2274ms
      teaching::0008 noisy_incomplete_transcript    pred=11 true=9 lat=1889ms
      teaching::0008 missing_features               pred=9 true=9 lat=2014ms
      teaching::0008 sparse_history                 pred=9 true=9 lat=1941ms
      teaching::0008 incomplete_contested_ontology  pred=11 true=9 lat=2047ms
      teaching::0028 noisy_incomplete_transcript    pred=5 true=5 lat=2354ms
      teaching::0028 missing_features               pred=6 true=5 lat=2322ms
      teaching::0028 sparse_history                 pred=6 true=5 lat=1898ms
      teaching::0028 incomplete_contested_ontology  pred=5 true=5 lat=2207ms
      teaching::0048 noisy_incomplete_transcript    pred=1 true=1 lat=1831ms
      teaching::0048 missing_features               pred=11 true=1 lat=2047ms
      teaching::0048 sparse_history                 pred=1 true=1 lat=2249ms
      teaching::0048 incomplete_contested_ontology  pred=11 true=1 lat=2104ms
      teaching::0068 noisy_incomplete_transcript    pred=21 true=21 lat=2143ms
      teaching::0068 missing_features               pred=11 true=21 lat=2092ms
      teaching::0068 sparse_history                 pred=16 true=21 lat=2013ms
      teaching::0068 incomplete_contested_ontology  pred=11 true=21 lat=2059ms
      teaching::0088 noisy_incomplete_transcript    pred=11 true=17 lat=1869ms
      teaching::0088 missing_features               pred=11 true=17 lat=2072ms
      teaching::0088 sparse_history                 pred=11 true=17 lat=2038ms
      teaching::0088 incomplete_contested_ontology  pred=11 true=17 lat=1923ms
      teaching::0009 noisy_incomplete_transcript    pred=10 true=10 lat=1838ms
      teaching::0009 missing_features               pred=10 true=10 lat=1811ms
      teaching::0009 sparse_history                 pred=10 true=10 lat=1836ms
      teaching::0009 incomplete_contested_ontology  pred=10 true=10 lat=1578ms
      teaching::0029 noisy_incomplete_transcript    pred=5 true=6 lat=2009ms
      teaching::0029 missing_features               pred=5 true=6 lat=1895ms
      teaching::0029 sparse_history                 pred=6 true=6 lat=2017ms
      teaching::0029 incomplete_contested_ontology  pred=6 true=6 lat=2404ms
      teaching::0049 noisy_incomplete_transcript    pred=11 true=2 lat=2145ms
      teaching::0049 missing_features               pred=11 true=2 lat=1838ms
      teaching::0049 sparse_history                 pred=11 true=2 lat=2142ms
      teaching::0049 incomplete_contested_ontology  pred=11 true=2 lat=1984ms
      teaching::0069 noisy_incomplete_transcript    pred=22 true=22 lat=2181ms
      teaching::0069 missing_features               pred=23 true=22 lat=2318ms
      teaching::0069 sparse_history                 pred=23 true=22 lat=1848ms
      teaching::0069 incomplete_contested_ontology  pred=19 true=22 lat=2350ms
      teaching::0089 noisy_incomplete_transcript    pred=18 true=18 lat=2169ms
      teaching::0089 missing_features               pred=18 true=18 lat=2154ms
      teaching::0089 sparse_history                 pred=18 true=18 lat=1937ms
      teaching::0089 incomplete_contested_ontology  pred=18 true=18 lat=2080ms
      teaching::0010 noisy_incomplete_transcript    pred=11 true=11 lat=1860ms
      teaching::0010 missing_features               pred=11 true=11 lat=2350ms
      teaching::0010 sparse_history                 pred=11 true=11 lat=2158ms
      teaching::0010 incomplete_contested_ontology  pred=11 true=11 lat=1836ms
      teaching::0030 noisy_incomplete_transcript    pred=11 true=7 lat=1917ms
      teaching::0030 missing_features               pred=1 true=7 lat=2311ms
      teaching::0030 sparse_history                 pred=11 true=7 lat=1859ms
      teaching::0030 incomplete_contested_ontology  pred=11 true=7 lat=2053ms
      teaching::0050 noisy_incomplete_transcript    pred=18 true=3 lat=2012ms
      teaching::0050 missing_features               pred=18 true=3 lat=2458ms
      teaching::0050 sparse_history                 pred=3 true=3 lat=2145ms
      teaching::0050 incomplete_contested_ontology  pred=3 true=3 lat=2254ms
      teaching::0070 noisy_incomplete_transcript    pred=11 true=23 lat=1661ms
      teaching::0070 missing_features               pred=17 true=23 lat=2539ms
      teaching::0070 sparse_history                 pred=1 true=23 lat=2037ms
      teaching::0070 incomplete_contested_ontology  pred=1 true=23 lat=2216ms
      teaching::0090 noisy_incomplete_transcript    pred=19 true=19 lat=2028ms
      teaching::0090 missing_features               pred=19 true=19 lat=2287ms
      teaching::0090 sparse_history                 pred=19 true=19 lat=2156ms
      teaching::0090 incomplete_contested_ontology  pred=19 true=19 lat=2017ms
      teaching::0011 noisy_incomplete_transcript    pred=12 true=12 lat=2264ms
      teaching::0011 missing_features               pred=12 true=12 lat=2068ms
      teaching::0011 sparse_history                 pred=12 true=12 lat=2104ms
      teaching::0011 incomplete_contested_ontology  pred=12 true=12 lat=2178ms
      teaching::0031 noisy_incomplete_transcript    pred=11 true=8 lat=2096ms
      teaching::0031 missing_features               pred=11 true=8 lat=3021ms
      teaching::0031 sparse_history                 pred=11 true=8 lat=1837ms
      teaching::0031 incomplete_contested_ontology  pred=11 true=8 lat=2001ms
      teaching::0051 noisy_incomplete_transcript    pred=19 true=4 lat=2377ms
      teaching::0051 missing_features               pred=4 true=4 lat=2048ms
      teaching::0051 sparse_history                 pred=4 true=4 lat=2293ms
      teaching::0051 incomplete_contested_ontology  pred=4 true=4 lat=2392ms
      teaching::0071 noisy_incomplete_transcript    pred=21 true=24 lat=2266ms
      teaching::0071 missing_features               pred=11 true=24 lat=2230ms
      teaching::0071 sparse_history                 pred=11 true=24 lat=2145ms
      teaching::0071 incomplete_contested_ontology  pred=11 true=24 lat=1918ms
      teaching::0091 noisy_incomplete_transcript    pred=11 true=20 lat=2057ms
      teaching::0091 missing_features               pred=20 true=20 lat=2351ms
      teaching::0091 sparse_history                 pred=20 true=20 lat=1766ms
      teaching::0091 incomplete_contested_ontology  pred=20 true=20 lat=2803ms
      teaching::0012 noisy_incomplete_transcript    pred=4 true=13 lat=2742ms
      teaching::0012 missing_features               pred=19 true=13 lat=2229ms
      teaching::0012 sparse_history                 pred=19 true=13 lat=1925ms
      teaching::0012 incomplete_contested_ontology  pred=19 true=13 lat=1846ms
      teaching::0032 noisy_incomplete_transcript    pred=10 true=9 lat=2327ms
      teaching::0032 missing_features               pred=10 true=9 lat=2035ms
      teaching::0032 sparse_history                 pred=9 true=9 lat=2204ms
      teaching::0032 incomplete_contested_ontology  pred=10 true=9 lat=2021ms
      teaching::0052 noisy_incomplete_transcript    pred=5 true=5 lat=2413ms
      teaching::0052 missing_features               pred=5 true=5 lat=2197ms
      teaching::0052 sparse_history                 pred=5 true=5 lat=2149ms
      teaching::0052 incomplete_contested_ontology  pred=5 true=5 lat=2246ms
      teaching::0072 noisy_incomplete_transcript    pred=1 true=1 lat=2543ms
      teaching::0072 missing_features               pred=11 true=1 lat=2089ms
      teaching::0072 sparse_history                 pred=11 true=1 lat=1849ms
      teaching::0072 incomplete_contested_ontology  pred=11 true=1 lat=1921ms
      teaching::0092 noisy_incomplete_transcript    pred=11 true=21 lat=1992ms
      teaching::0092 missing_features               pred=21 true=21 lat=1843ms
      teaching::0092 sparse_history                 pred=10 true=21 lat=2042ms
      teaching::0092 incomplete_contested_ontology  pred=21 true=21 lat=1878ms
      teaching::0013 noisy_incomplete_transcript    pred=14 true=14 lat=2062ms
      teaching::0013 missing_features               pred=14 true=14 lat=2310ms
      teaching::0013 sparse_history                 pred=14 true=14 lat=2417ms
      teaching::0013 incomplete_contested_ontology  pred=14 true=14 lat=2689ms
      teaching::0033 noisy_incomplete_transcript    pred=10 true=10 lat=2069ms
      teaching::0033 missing_features               pred=1 true=10 lat=1581ms
      teaching::0033 sparse_history                 pred=10 true=10 lat=2059ms
      teaching::0033 incomplete_contested_ontology  pred=10 true=10 lat=1906ms
      teaching::0053 noisy_incomplete_transcript    pred=6 true=6 lat=2175ms
      teaching::0053 missing_features               pred=5 true=6 lat=2144ms
      teaching::0053 sparse_history                 pred=6 true=6 lat=2067ms
      teaching::0053 incomplete_contested_ontology  pred=5 true=6 lat=2115ms
      teaching::0073 noisy_incomplete_transcript    pred=11 true=2 lat=1925ms
      teaching::0073 missing_features               pred=10 true=2 lat=2242ms
      teaching::0073 sparse_history                 pred=11 true=2 lat=2186ms
      teaching::0073 incomplete_contested_ontology  pred=10 true=2 lat=1925ms
      teaching::0093 noisy_incomplete_transcript    pred=5 true=22 lat=2132ms
      teaching::0093 missing_features               pred=22 true=22 lat=2798ms
      teaching::0093 sparse_history                 pred=22 true=22 lat=3041ms
      teaching::0093 incomplete_contested_ontology  pred=5 true=22 lat=2259ms
      teaching::0014 noisy_incomplete_transcript    pred=5 true=15 lat=2324ms
      teaching::0014 missing_features               pred=5 true=15 lat=2057ms
      teaching::0014 sparse_history                 pred=5 true=15 lat=2451ms
      teaching::0014 incomplete_contested_ontology  pred=5 true=15 lat=2143ms
      teaching::0034 noisy_incomplete_transcript    pred=11 true=11 lat=1907ms
      teaching::0034 missing_features               pred=11 true=11 lat=2485ms
      teaching::0034 sparse_history                 pred=11 true=11 lat=1952ms
      teaching::0034 incomplete_contested_ontology  pred=11 true=11 lat=2107ms
      teaching::0054 noisy_incomplete_transcript    pred=11 true=7 lat=2034ms
      teaching::0054 missing_features               pred=10 true=7 lat=3102ms
      teaching::0054 sparse_history                 pred=11 true=7 lat=1929ms
      teaching::0054 incomplete_contested_ontology  pred=11 true=7 lat=2224ms
      teaching::0074 noisy_incomplete_transcript    pred=1 true=3 lat=2041ms
      teaching::0074 missing_features               pred=10 true=3 lat=1971ms
      teaching::0074 sparse_history                 pred=10 true=3 lat=2289ms
      teaching::0074 incomplete_contested_ontology  pred=10 true=3 lat=2168ms
      teaching::0094 noisy_incomplete_transcript    pred=23 true=23 lat=2131ms
      teaching::0094 missing_features               pred=23 true=23 lat=2286ms
      teaching::0094 sparse_history                 pred=23 true=23 lat=2086ms
      teaching::0094 incomplete_contested_ontology  pred=23 true=23 lat=2244ms
      teaching::0015 noisy_incomplete_transcript    pred=11 true=16 lat=2184ms
      teaching::0015 missing_features               pred=10 true=16 lat=2064ms
      teaching::0015 sparse_history                 pred=10 true=16 lat=1911ms
      teaching::0015 incomplete_contested_ontology  pred=11 true=16 lat=2318ms
      teaching::0035 noisy_incomplete_transcript    pred=12 true=12 lat=2432ms
      teaching::0035 missing_features               pred=12 true=12 lat=2311ms
      teaching::0035 sparse_history                 pred=12 true=12 lat=2069ms
      teaching::0035 incomplete_contested_ontology  pred=12 true=12 lat=2194ms
      teaching::0055 noisy_incomplete_transcript    pred=11 true=8 lat=2165ms
      teaching::0055 missing_features               pred=11 true=8 lat=2120ms
      teaching::0055 sparse_history                 pred=11 true=8 lat=1927ms
      teaching::0055 incomplete_contested_ontology  pred=11 true=8 lat=2260ms
      teaching::0075 noisy_incomplete_transcript    pred=4 true=4 lat=2371ms
      teaching::0075 missing_features               pred=4 true=4 lat=2046ms
      teaching::0075 sparse_history                 pred=4 true=4 lat=1895ms
      teaching::0075 incomplete_contested_ontology  pred=4 true=4 lat=2145ms
      teaching::0095 noisy_incomplete_transcript    pred=11 true=24 lat=1956ms
      teaching::0095 missing_features               pred=11 true=24 lat=2009ms
      teaching::0095 sparse_history                 pred=11 true=24 lat=1895ms
      teaching::0095 incomplete_contested_ontology  pred=11 true=24 lat=2131ms
      teaching::0016 noisy_incomplete_transcript    pred=17 true=17 lat=2051ms
      teaching::0016 missing_features               pred=17 true=17 lat=2124ms
      teaching::0016 sparse_history                 pred=11 true=17 lat=2026ms
      teaching::0016 incomplete_contested_ontology  pred=17 true=17 lat=3397ms
      teaching::0036 noisy_incomplete_transcript    pred=13 true=13 lat=2652ms
      teaching::0036 missing_features               pred=13 true=13 lat=2245ms
      teaching::0036 sparse_history                 pred=21 true=13 lat=2136ms
      teaching::0036 incomplete_contested_ontology  pred=13 true=13 lat=2293ms
      teaching::0056 noisy_incomplete_transcript    pred=10 true=9 lat=1950ms
      teaching::0056 missing_features               pred=9 true=9 lat=2136ms
      teaching::0056 sparse_history                 pred=9 true=9 lat=2491ms
      teaching::0056 incomplete_contested_ontology  pred=10 true=9 lat=2290ms
      teaching::0076 noisy_incomplete_transcript    pred=6 true=5 lat=2351ms
      teaching::0076 missing_features               pred=5 true=5 lat=2357ms
      teaching::0076 sparse_history                 pred=6 true=5 lat=2067ms
      teaching::0076 incomplete_contested_ontology  pred=6 true=5 lat=2170ms
      teaching::0096 noisy_incomplete_transcript    pred=1 true=1 lat=1939ms
      teaching::0096 missing_features               pred=1 true=1 lat=2091ms
      teaching::0096 sparse_history                 pred=11 true=1 lat=1890ms
      teaching::0096 incomplete_contested_ontology  pred=9 true=1 lat=2134ms
      teaching::0017 noisy_incomplete_transcript    pred=18 true=18 lat=1958ms
      teaching::0017 missing_features               pred=18 true=18 lat=1956ms
      teaching::0017 sparse_history                 pred=18 true=18 lat=1989ms
      teaching::0017 incomplete_contested_ontology  pred=18 true=18 lat=1763ms
      teaching::0037 noisy_incomplete_transcript    pred=14 true=14 lat=2204ms
      teaching::0037 missing_features               pred=14 true=14 lat=2347ms
      teaching::0037 sparse_history                 pred=14 true=14 lat=2201ms
