customer_service::0000 VL    pred=1 true=1 lat=4007ms
customer_service::0084 VL    pred=3 true=17 lat=1528ms
customer_service::0084 FR    pred=11 true=17 lat=1689ms
customer_service::0084 GR    pred=19 true=17 lat=1529ms
customer_service::0084 GACA  pred=19 true=17 lat=1822ms
customer_service::0005 VL    pred=2 true=7 lat=1297ms
customer_service::0005 FR    pred=2 true=7 lat=1445ms
customer_service::0005 GR    pred=2 true=7 lat=2258ms
customer_service::0005 GACA  pred=12 true=7 lat=2116ms
customer_service::0025 VL    pred=3 true=3 lat=1553ms
customer_service::0025 FR    pred=3 true=3 lat=1417ms
customer_service::0025 GR    pred=3 true=3 lat=1816ms
customer_service::0025 GACA  pred=3 true=3 lat=1811ms
customer_service::0045 VL    pred=24 true=24 lat=1508ms
customer_service::0045 FR    pred=24 true=24 lat=1420ms
customer_service::0045 GR    pred=24 true=24 lat=1898ms
customer_service::0045 GACA  pred=24 true=24 lat=2117ms
customer_service::0065 VL    pred=19 true=21 lat=1643ms
customer_service::0065 FR    pred=19 true=21 lat=1755ms
customer_service::0065 GR    pred=19 true=21 lat=1491ms
customer_service::0065 GACA  pred=19 true=21 lat=2031ms
customer_service::0085 VL    pred=19 true=18 lat=1289ms
customer_service::0085 FR    pred=19 true=18 lat=1625ms
customer_service::0085 GR    pred=19 true=18 lat=1651ms
customer_service::0085 GACA  pred=19 true=18 lat=2793ms
customer_service::0006 VL    pred=3 true=8 lat=2171ms
customer_service::0006 FR    pred=3 true=8 lat=1475ms
customer_service::0006 GR    pred=20 true=8 lat=2810ms
customer_service::0006 GACA  pred=19 true=8 lat=2224ms
customer_service::0026 VL    pred=4 true=4 lat=1503ms
customer_service::0026 FR    pred=19 true=4 lat=2005ms
customer_service::0026 GR    pred=4 true=4 lat=1653ms
customer_service::0026 GACA  pred=4 true=4 lat=1877ms
customer_service::0046 VL    pred=1 true=1 lat=2326ms
customer_service::0046 FR    pred=9 true=1 lat=1377ms
customer_service::0046 GR    pred=9 true=1 lat=1840ms
customer_service::0046 GACA  pred=9 true=1 lat=2702ms
customer_service::0066 VL    pred=19 true=22 lat=1448ms
customer_service::0066 FR    pred=19 true=22 lat=1943ms
customer_service::0066 GR    pred=19 true=22 lat=1569ms
customer_service::0066 GACA  pred=22 true=22 lat=3697ms
customer_service::0086 VL    pred=19 true=19 lat=1574ms
customer_service::0086 FR    pred=19 true=19 lat=1535ms
customer_service::0086 GR    pred=19 true=19 lat=1739ms
customer_service::0086 GACA  pred=19 true=19 lat=2244ms
customer_service::0007 VL    pred=1 true=9 lat=1838ms
customer_service::0007 FR    pred=9 true=9 lat=2282ms
customer_service::0007 GR    pred=9 true=9 lat=1822ms
customer_service::0007 GACA  pred=1 true=9 lat=2161ms
customer_service::0027 VL    pred=6 true=6 lat=1838ms
customer_service::0027 FR    pred=6 true=6 lat=1809ms
customer_service::0027 GR    pred=6 true=6 lat=1782ms
customer_service::0027 GACA  pred=6 true=6 lat=2107ms
customer_service::0047 VL    pred=2 true=2 lat=1600ms
customer_service::0047 FR    pred=2 true=2 lat=1850ms
customer_service::0047 GR    pred=2 true=2 lat=1734ms
customer_service::0047 GACA  pred=19 true=2 lat=1944ms
customer_service::0067 VL    pred=19 true=23 lat=1862ms
customer_service::0067 FR    pred=11 true=23 lat=1418ms
customer_service::0067 GR    pred=11 true=23 lat=1979ms
customer_service::0067 GACA  pred=11 true=23 lat=2186ms
customer_service::0087 VL    pred=20 true=20 lat=1855ms
customer_service::0087 FR    pred=20 true=20 lat=1764ms
customer_service::0087 GR    pred=20 true=20 lat=1705ms
customer_service::0087 GACA  pred=20 true=20 lat=2342ms
customer_service::0008 VL    pred=10 true=10 lat=2203ms
customer_service::0008 FR    pred=1 true=10 lat=1477ms
customer_service::0008 GR    pred=1 true=10 lat=1518ms
customer_service::0008 GACA  pred=10 true=10 lat=2976ms
customer_service::0028 VL    pred=2 true=7 lat=1643ms
customer_service::0028 FR    pred=1 true=7 lat=1749ms
customer_service::0028 GR    pred=1 true=7 lat=1538ms
customer_service::0028 GACA  pred=12 true=7 lat=2113ms
customer_service::0048 VL    pred=3 true=3 lat=2256ms
customer_service::0048 FR    pred=19 true=3 lat=1928ms
customer_service::0048 GR    pred=19 true=3 lat=1477ms
customer_service::0048 GACA  pred=3 true=3 lat=2319ms
customer_service::0068 VL    pred=24 true=24 lat=1577ms
customer_service::0068 FR    pred=24 true=24 lat=2147ms
customer_service::0068 GR    pred=24 true=24 lat=1702ms
customer_service::0068 GACA  pred=24 true=24 lat=2155ms
customer_service::0088 VL    pred=19 true=21 lat=1838ms
customer_service::0088 FR    pred=19 true=21 lat=2251ms
customer_service::0088 GR    pred=19 true=21 lat=1479ms
customer_service::0088 GACA  pred=19 true=21 lat=2307ms
customer_service::0009 VL    pred=11 true=11 lat=1539ms
customer_service::0009 FR    pred=11 true=11 lat=1441ms
customer_service::0009 GR    pred=11 true=11 lat=1546ms
customer_service::0009 GACA  pred=11 true=11 lat=1808ms
customer_service::0029 VL    pred=3 true=8 lat=1663ms
customer_service::0029 FR    pred=3 true=8 lat=1541ms
customer_service::0029 GR    pred=11 true=8 lat=1729ms
customer_service::0029 GACA  pred=3 true=8 lat=2258ms
customer_service::0049 VL    pred=4 true=4 lat=1874ms
customer_service::0049 FR    pred=4 true=4 lat=1403ms
customer_service::0049 GR    pred=4 true=4 lat=1555ms
customer_service::0049 GACA  pred=4 true=4 lat=1969ms
customer_service::0069 VL    pred=9 true=1 lat=1470ms
customer_service::0069 FR    pred=9 true=1 lat=1526ms
customer_service::0069 GR    pred=1 true=1 lat=1418ms
customer_service::0069 GACA  pred=9 true=1 lat=2216ms
customer_service::0089 VL    pred=19 true=22 lat=1577ms
customer_service::0089 FR    pred=19 true=22 lat=1619ms
customer_service::0089 GR    pred=19 true=22 lat=1487ms
customer_service::0089 GACA  pred=19 true=22 lat=2460ms
customer_service::0010 VL    pred=24 true=12 lat=1479ms
customer_service::0010 FR    pred=24 true=12 lat=1699ms
customer_service::0010 GR    pred=24 true=12 lat=1600ms
customer_service::0010 GACA  pred=12 true=12 lat=2177ms
customer_service::0030 VL    pred=9 true=9 lat=1640ms
customer_service::0030 FR    pred=9 true=9 lat=1537ms
customer_service::0030 GR    pred=9 true=9 lat=1435ms
customer_service::0030 GACA  pred=9 true=9 lat=1920ms
customer_service::0050 VL    pred=6 true=6 lat=1556ms
customer_service::0050 FR    pred=6 true=6 lat=3044ms
customer_service::0050 GR    pred=6 true=6 lat=1314ms
customer_service::0050 GACA  pred=6 true=6 lat=2177ms
customer_service::0070 VL    pred=2 true=2 lat=1390ms
customer_service::0070 FR    pred=19 true=2 lat=1514ms
customer_service::0070 GR    pred=19 true=2 lat=1428ms
customer_service::0070 GACA  pred=19 true=2 lat=2328ms
customer_service::0090 VL    pred=11 true=23 lat=1571ms
customer_service::0090 FR    pred=11 true=23 lat=1496ms
customer_service::0090 GR    pred=11 true=23 lat=1325ms
customer_service::0090 GACA  pred=11 true=23 lat=1859ms
customer_service::0011 VL    pred=13 true=13 lat=1425ms
customer_service::0011 FR    pred=13 true=13 lat=1403ms
customer_service::0011 GR    pred=13 true=13 lat=1707ms
customer_service::0011 GACA  pred=13 true=13 lat=1989ms
customer_service::0031 VL    pred=10 true=10 lat=1262ms
customer_service::0031 FR    pred=10 true=10 lat=1512ms
customer_service::0031 GR    pred=10 true=10 lat=2037ms
customer_service::0031 GACA  pred=10 true=10 lat=1887ms
customer_service::0051 VL    pred=14 true=7 lat=1368ms
customer_service::0051 FR    pred=14 true=7 lat=1528ms
customer_service::0051 GR    pred=12 true=7 lat=1321ms
customer_service::0051 GACA  pred=14 true=7 lat=1844ms
customer_service::0071 VL    pred=19 true=3 lat=1526ms
customer_service::0071 FR    pred=19 true=3 lat=1526ms
customer_service::0071 GR    pred=19 true=3 lat=1441ms
customer_service::0071 GACA  pred=3 true=3 lat=1841ms
customer_service::0091 VL    pred=24 true=24 lat=1938ms
customer_service::0091 FR    pred=12 true=24 lat=1545ms
customer_service::0091 GR    pred=24 true=24 lat=1526ms
customer_service::0091 GACA  pred=24 true=24 lat=2213ms
customer_service::0012 VL    pred=12 true=14 lat=1466ms
customer_service::0012 FR    pred=12 true=14 lat=1574ms
customer_service::0012 GR    pred=14 true=14 lat=2173ms
customer_service::0012 GACA  pred=12 true=14 lat=2174ms
customer_service::0032 VL    pred=19 true=11 lat=1591ms
customer_service::0032 FR    pred=11 true=11 lat=1561ms
customer_service::0032 GR    pred=11 true=11 lat=1489ms
customer_service::0032 GACA  pred=11 true=11 lat=1957ms
customer_service::0052 VL    pred=11 true=8 lat=1782ms
customer_service::0052 FR    pred=11 true=8 lat=1342ms
customer_service::0052 GR    pred=11 true=8 lat=1310ms
customer_service::0052 GACA  pred=11 true=8 lat=1983ms
customer_service::0072 VL    pred=19 true=4 lat=1429ms
customer_service::0072 FR    pred=19 true=4 lat=1892ms
customer_service::0072 GR    pred=19 true=4 lat=1654ms
customer_service::0072 GACA  pred=4 true=4 lat=2035ms
customer_service::0092 VL    pred=1 true=1 lat=1590ms
customer_service::0092 FR    pred=9 true=1 lat=1534ms
customer_service::0092 GR    pred=1 true=1 lat=1651ms
customer_service::0092 GACA  pred=9 true=1 lat=1889ms
customer_service::0013 VL    pred=24 true=15 lat=1276ms
customer_service::0013 FR    pred=24 true=15 lat=1631ms
customer_service::0013 GR    pred=24 true=15 lat=1715ms
customer_service::0013 GACA  pred=24 true=15 lat=1892ms
customer_service::0033 VL    pred=11 true=12 lat=1352ms
customer_service::0033 FR    pred=14 true=12 lat=1610ms
customer_service::0033 GR    pred=14 true=12 lat=1679ms
customer_service::0033 GACA  pred=12 true=12 lat=1856ms
customer_service::0053 VL    pred=1 true=9 lat=2415ms
customer_service::0053 FR    pred=9 true=9 lat=1507ms
customer_service::0053 GR    pred=9 true=9 lat=1300ms
customer_service::0053 GACA  pred=9 true=9 lat=1989ms
customer_service::0073 VL    pred=6 true=6 lat=1431ms
customer_service::0073 FR    pred=6 true=6 lat=1619ms
customer_service::0073 GR    pred=6 true=6 lat=1783ms
customer_service::0073 GACA  pred=6 true=6 lat=2091ms
customer_service::0093 VL    pred=2 true=2 lat=1652ms
customer_service::0093 FR    pred=2 true=2 lat=1434ms
customer_service::0093 GR    pred=19 true=2 lat=1366ms
customer_service::0093 GACA  pred=19 true=2 lat=2189ms
customer_service::0014 VL    pred=2 true=16 lat=1534ms
customer_service::0014 FR    pred=19 true=16 lat=1759ms
customer_service::0014 GR    pred=19 true=16 lat=1725ms
customer_service::0014 GACA  pred=19 true=16 lat=1894ms
customer_service::0034 VL    pred=13 true=13 lat=1774ms
customer_service::0034 FR    pred=13 true=13 lat=1372ms
customer_service::0034 GR    pred=13 true=13 lat=1486ms
customer_service::0034 GACA  pred=13 true=13 lat=2065ms
customer_service::0054 VL    pred=1 true=10 lat=2405ms
customer_service::0054 FR    pred=1 true=10 lat=1627ms
customer_service::0054 GR    pred=10 true=10 lat=1613ms
customer_service::0054 GACA  pred=10 true=10 lat=1914ms
customer_service::0074 VL    pred=2 true=7 lat=1510ms
customer_service::0074 FR    pred=2 true=7 lat=1511ms
customer_service::0074 GR    pred=12 true=7 lat=1222ms
customer_service::0074 GACA  pred=12 true=7 lat=2045ms
customer_service::0094 VL    pred=4 true=3 lat=1761ms
customer_service::0094 FR    pred=4 true=3 lat=1692ms
customer_service::0094 GR    pred=3 true=3 lat=1543ms
customer_service::0094 GACA  pred=3 true=3 lat=2137ms
customer_service::0015 VL    pred=3 true=17 lat=1651ms
customer_service::0015 FR    pred=19 true=17 lat=1441ms
customer_service::0015 GR    pred=15 true=17 lat=1632ms
customer_service::0015 GACA  pred=15 true=17 lat=2257ms
customer_service::0035 VL    pred=14 true=14 lat=1422ms
customer_service::0035 FR    pred=14 true=14 lat=1700ms
customer_service::0035 GR    pred=14 true=14 lat=1748ms
customer_service::0035 GACA  pred=14 true=14 lat=2432ms
customer_service::0055 VL    pred=19 true=11 lat=1640ms
customer_service::0055 FR    pred=19 true=11 lat=1415ms
customer_service::0055 GR    pred=19 true=11 lat=1451ms
customer_service::0055 GACA  pred=11 true=11 lat=2279ms
customer_service::0075 VL    pred=3 true=8 lat=1517ms
customer_service::0075 FR    pred=11 true=8 lat=1443ms
customer_service::0075 GR    pred=11 true=8 lat=1668ms
customer_service::0075 GACA  pred=11 true=8 lat=1691ms
customer_service::0095 VL    pred=4 true=4 lat=2516ms
customer_service::0095 FR    pred=4 true=4 lat=1811ms
customer_service::0095 GR    pred=19 true=4 lat=1833ms
customer_service::0095 GACA  pred=4 true=4 lat=2228ms
customer_service::0016 VL    pred=19 true=18 lat=1767ms
customer_service::0016 FR    pred=19 true=18 lat=1868ms
customer_service::0016 GR    pred=1 true=18 lat=1903ms
customer_service::0016 GACA  pred=18 true=18 lat=2208ms
customer_service::0036 VL    pred=11 true=15 lat=1475ms
customer_service::0036 FR    pred=11 true=15 lat=1536ms
customer_service::0036 GR    pred=11 true=15 lat=2629ms
customer_service::0036 GACA  pred=11 true=15 lat=1637ms
customer_service::0056 VL    pred=11 true=12 lat=1578ms
customer_service::0056 FR    pred=11 true=12 lat=1460ms
customer_service::0056 GR    pred=11 true=12 lat=1612ms
customer_service::0056 GACA  pred=12 true=12 lat=2146ms
customer_service::0076 VL    pred=1 true=9 lat=1388ms
customer_service::0076 FR    pred=1 true=9 lat=1612ms
customer_service::0076 GR    pred=9 true=9 lat=2298ms
customer_service::0076 GACA  pred=9 true=9 lat=2183ms
customer_service::0096 VL    pred=6 true=6 lat=2240ms
customer_service::0096 FR    pred=6 true=6 lat=2255ms
customer_service::0096 GR    pred=6 true=6 lat=2262ms
customer_service::0096 GACA  pred=6 true=6 lat=2047ms
customer_service::0017 VL    pred=19 true=19 lat=1817ms
customer_service::0017 FR    pred=19 true=19 lat=1852ms
customer_service::0017 GR    pred=19 true=19 lat=1792ms
customer_service::0017 GACA  pred=19 true=19 lat=2194ms
customer_service::0037 VL    pred=19 true=16 lat=1795ms
customer_service::0037 FR    pred=19 true=16 lat=1798ms
customer_service::0037 GR    pred=19 true=16 lat=1869ms
customer_service::0037 GACA  pred=19 true=16 lat=2032ms
customer_service::0057 VL    pred=19 true=13 lat=1612ms
customer_service::0057 FR    pred=19 true=13 lat=1473ms
customer_service::0057 GR    pred=19 true=13 lat=1362ms
customer_service::0057 GACA  pred=13 true=13 lat=2212ms
customer_service::0077 VL    pred=1 true=10 lat=1605ms
customer_service::0077 FR    pred=9 true=10 lat=1199ms
customer_service::0077 GR    pred=9 true=10 lat=1690ms
customer_service::0077 GACA  pred=9 true=10 lat=1837ms
customer_service::0097 VL    pred=9 true=7 lat=1540ms
customer_service::0097 FR    pred=9 true=7 lat=1705ms
customer_service::0097 GR    pred=1 true=7 lat=1527ms
customer_service::0097 GACA  pred=9 true=7 lat=2550ms
customer_service::0018 VL    pred=20 true=20 lat=1688ms
customer_service::0018 FR    pred=20 true=20 lat=1823ms
customer_service::0018 GR    pred=20 true=20 lat=1988ms
customer_service::0018 GACA  pred=20 true=20 lat=2043ms
customer_service::0038 VL    pred=11 true=17 lat=1521ms
customer_service::0038 FR    pred=11 true=17 lat=1444ms
customer_service::0038 GR    pred=19 true=17 lat=1385ms
customer_service::0038 GACA  pred=19 true=17 lat=2313ms
customer_service::0058 VL    pred=12 true=14 lat=1630ms
customer_service::0058 FR    pred=12 true=14 lat=1548ms
customer_service::0058 GR    pred=12 true=14 lat=1627ms
customer_service::0058 GACA  pred=12 true=14 lat=2198ms
customer_service::0078 VL    pred=11 true=11 lat=1496ms
customer_service::0078 FR    pred=11 true=11 lat=2320ms
customer_service::0078 GR    pred=11 true=11 lat=1421ms
customer_service::0078 GACA  pred=11 true=11 lat=2276ms
customer_service::0098 VL    pred=3 true=8 lat=1733ms
customer_service::0098 FR    pred=19 true=8 lat=1234ms
customer_service::0098 GR    pred=21 true=8 lat=1714ms
customer_service::0098 GACA  pred=19 true=8 lat=1793ms
customer_service::0019 VL    pred=19 true=21 lat=1609ms
customer_service::0019 FR    pred=19 true=21 lat=1413ms
customer_service::0019 GR    pred=19 true=21 lat=1705ms
customer_service::0019 GACA  pred=19 true=21 lat=1796ms
customer_service::0039 VL    pred=19 true=18 lat=1701ms
customer_service::0039 FR    pred=19 true=18 lat=1506ms
customer_service::0039 GR    pred=19 true=18 lat=1566ms
customer_service::0039 GACA  pred=19 true=18 lat=1971ms
customer_service::0059 VL    pred=11 true=15 lat=1557ms
customer_service::0059 FR    pred=24 true=15 lat=1490ms
customer_service::0059 GR    pred=24 true=15 lat=1663ms
customer_service::0059 GACA  pred=24 true=15 lat=2014ms
customer_service::0079 VL    pred=11 true=12 lat=1344ms
customer_service::0079 FR    pred=11 true=12 lat=1360ms
customer_service::0079 GR    pred=21 true=12 lat=1411ms
customer_service::0079 GACA  pred=12 true=12 lat=2104ms
customer_service::0099 VL    pred=1 true=9 lat=1608ms
customer_service::0099 FR    pred=1 true=9 lat=1546ms
customer_service::0099 GR    pred=9 true=9 lat=1820ms
customer_service::0099 GACA  pred=9 true=9 lat=2048ms
    healthcare::0000 VL    pred=10 true=1 lat=1705ms
    healthcare::0000 FR    pred=10 true=1 lat=1515ms
    healthcare::0000 GR    pred=1 true=1 lat=1594ms
    healthcare::0000 GACA  pred=11 true=1 lat=2142ms
    healthcare::0020 VL    pred=22 true=22 lat=1685ms
    healthcare::0020 FR    pred=22 true=22 lat=1699ms
    healthcare::0020 GR    pred=22 true=22 lat=1666ms
    healthcare::0020 GACA  pred=22 true=22 lat=1792ms
    healthcare::0040 VL    pred=19 true=19 lat=1788ms
    healthcare::0040 FR    pred=19 true=19 lat=1740ms
    healthcare::0040 GR    pred=19 true=19 lat=1700ms
    healthcare::0040 GACA  pred=19 true=19 lat=2110ms
    healthcare::0060 VL    pred=16 true=16 lat=1365ms
    healthcare::0060 FR    pred=16 true=16 lat=2206ms
    healthcare::0060 GR    pred=16 true=16 lat=1540ms
    healthcare::0060 GACA  pred=16 true=16 lat=2240ms
    healthcare::0080 VL    pred=21 true=13 lat=1714ms
    healthcare::0080 FR    pred=21 true=13 lat=1483ms
    healthcare::0080 GR    pred=21 true=13 lat=1631ms
    healthcare::0080 GACA  pred=21 true=13 lat=2401ms
    healthcare::0001 VL    pred=2 true=2 lat=1237ms
    healthcare::0001 FR    pred=2 true=2 lat=1645ms
    healthcare::0001 GR    pred=2 true=2 lat=1511ms
    healthcare::0001 GACA  pred=2 true=2 lat=1931ms
    healthcare::0021 VL    pred=11 true=23 lat=1520ms
    healthcare::0021 FR    pred=11 true=23 lat=1580ms
    healthcare::0021 GR    pred=11 true=23 lat=1566ms
    healthcare::0021 GACA  pred=11 true=23 lat=2030ms
    healthcare::0041 VL    pred=20 true=20 lat=1729ms
    healthcare::0041 FR    pred=11 true=20 lat=2000ms
    healthcare::0041 GR    pred=11 true=20 lat=1819ms
    healthcare::0041 GACA  pred=16 true=20 lat=2634ms
    healthcare::0061 VL    pred=11 true=17 lat=1342ms
    healthcare::0061 FR    pred=11 true=17 lat=1494ms
    healthcare::0061 GR    pred=17 true=17 lat=1945ms
    healthcare::0061 GACA  pred=24 true=17 lat=2480ms
    healthcare::0081 VL    pred=11 true=14 lat=1617ms
    healthcare::0081 FR    pred=11 true=14 lat=1681ms
    healthcare::0081 GR    pred=11 true=14 lat=1476ms
    healthcare::0081 GACA  pred=14 true=14 lat=2307ms
    healthcare::0002 VL    pred=3 true=3 lat=1500ms
    healthcare::0002 FR    pred=3 true=3 lat=1699ms
    healthcare::0002 GR    pred=3 true=3 lat=1544ms
    healthcare::0002 GACA  pred=3 true=3 lat=2079ms
    healthcare::0022 VL    pred=11 true=24 lat=1354ms
    healthcare::0022 FR    pred=11 true=24 lat=1534ms
    healthcare::0022 GR    pred=11 true=24 lat=1625ms
    healthcare::0022 GACA  pred=21 true=24 lat=2019ms
    healthcare::0042 VL    pred=21 true=21 lat=1508ms
    healthcare::0042 FR    pred=21 true=21 lat=1267ms
    healthcare::0042 GR    pred=21 true=21 lat=1856ms
    healthcare::0042 GACA  pred=21 true=21 lat=2359ms
    healthcare::0062 VL    pred=10 true=18 lat=1375ms
    healthcare::0062 FR    pred=3 true=18 lat=1716ms
    healthcare::0062 GR    pred=1 true=18 lat=1547ms
    healthcare::0062 GACA  pred=11 true=18 lat=2329ms
    healthcare::0082 VL    pred=11 true=15 lat=1446ms
    healthcare::0082 FR    pred=11 true=15 lat=1504ms
    healthcare::0082 GR    pred=11 true=15 lat=1709ms
    healthcare::0082 GACA  pred=11 true=15 lat=2408ms
    healthcare::0003 VL    pred=4 true=4 lat=1764ms
    healthcare::0003 FR    pred=3 true=4 lat=1632ms
    healthcare::0003 GR    pred=4 true=4 lat=2045ms
    healthcare::0003 GACA  pred=4 true=4 lat=2149ms
    healthcare::0023 VL    pred=10 true=1 lat=1146ms
    healthcare::0023 FR    pred=10 true=1 lat=1475ms
    healthcare::0023 GR    pred=10 true=1 lat=1607ms
    healthcare::0023 GACA  pred=10 true=1 lat=2289ms
    healthcare::0043 VL    pred=22 true=22 lat=1397ms
    healthcare::0043 FR    pred=22 true=22 lat=1629ms
    healthcare::0043 GR    pred=22 true=22 lat=1781ms
    healthcare::0043 GACA  pred=22 true=22 lat=2297ms
    healthcare::0063 VL    pred=3 true=19 lat=1528ms
    healthcare::0063 FR    pred=3 true=19 lat=1992ms
    healthcare::0063 GR    pred=3 true=19 lat=1602ms
    healthcare::0063 GACA  pred=19 true=19 lat=2658ms
    healthcare::0083 VL    pred=3 true=16 lat=1541ms
    healthcare::0083 FR    pred=16 true=16 lat=1729ms
    healthcare::0083 GR    pred=16 true=16 lat=1729ms
    healthcare::0083 GACA  pred=16 true=16 lat=2777ms
    healthcare::0004 VL    pred=11 true=6 lat=1435ms
    healthcare::0004 FR    pred=11 true=6 lat=1631ms
    healthcare::0004 GR    pred=15 true=6 lat=3460ms
    healthcare::0004 GACA  pred=11 true=6 lat=2416ms
    healthcare::0024 VL    pred=20 true=2 lat=1655ms
    healthcare::0024 FR    pred=20 true=2 lat=2043ms
    healthcare::0024 GR    pred=2 true=2 lat=1725ms
    healthcare::0024 GACA  pred=20 true=2 lat=2601ms
    healthcare::0044 VL    pred=11 true=23 lat=1404ms
    healthcare::0044 FR    pred=11 true=23 lat=1857ms
    healthcare::0044 GR    pred=11 true=23 lat=1686ms
